PCA_Component,Importance
PC1,0.2856382914866408
PC2,0.15643784697619645
PC7,0.060592004241223456
PC11,0.04352036417129537
PC4,0.025497408830710024
PC5,0.023798240761830694
PC12,0.01738035783461272
PC10,0.01461145305750207
PC14,0.012963133767521446
PC3,0.012729663216757624
PC8,0.012692133923173038
PC6,0.011027687269323818
PC13,0.010301967314681913
PC19,0.00861761930796397
PC17,0.008467925236472475
PC31,0.008357291825314596
PC24,0.007908575502147745
PC16,0.006328513133217073
PC9,0.006282577497600616
PC47,0.005863622671193055
PC21,0.005682437838164867
PC23,0.005639940469870224
PC52,0.005622830195305518
PC18,0.005493308647110313
PC54,0.005341688263058411
PC22,0.004720358554525482
PC40,0.004642342373999733
PC57,0.004523436868869073
PC37,0.004369379474582506
PC27,0.004364718274180306
PC28,0.0042924823011107885
PC25,0.004165037758310432
PC41,0.00409280765347746
PC46,0.004032487941996969
PC70,0.003976625164784499
PC67,0.003962219091343098
PC29,0.0037495559505277215
PC77,0.0037467984758936747
PC59,0.0037315359984293555
PC66,0.0037264888177122473
PC15,0.0036372017563293117
PC34,0.0036144644611221695
PC71,0.0034934553672152763
PC58,0.0034167627605081836
PC30,0.0033709509911149225
PC26,0.003223117855997581
PC72,0.0031784082642237494
PC56,0.003174481758809748
PC92,0.003101395173573382
PC79,0.0030464560148332925
PC99,0.002983207706746516
PC44,0.0029487740174487403
PC55,0.002936959089436843
PC65,0.0029272447880754593
PC63,0.0029238750197014118
PC48,0.002889357933425659
PC36,0.002859302016366953
PC93,0.002697586652381046
PC73,0.002695100207768015
PC43,0.002610743559714926
PC68,0.002595910561505448
PC80,0.002518240789882448
PC38,0.0025012823207159183
PC97,0.002459581526779693
PC81,0.002458995914262373
PC33,0.0024279605239095727
PC20,0.002421796091388626
PC76,0.00241238756122324
PC111,0.0024043112215034915
PC60,0.0023992554157413783
PC112,0.002395023281170229
PC50,0.0023718198783672915
PC88,0.002327548789312917
PC42,0.002285912020829549
PC78,0.002261245284896036
PC104,0.002253025488260833
PC53,0.0022228156142478418
PC45,0.0022154312661642104
PC82,0.0021898457492919073
PC35,0.0021842555887085185
PC75,0.002179346239736772
PC32,0.0021554917281512635
PC95,0.0021333807631292922
PC96,0.002064704958663062
PC90,0.002059112273686759
PC62,0.0020526844679602373
PC103,0.0020356642447780615
PC74,0.0020252492089140803
PC87,0.002002914526827411
PC91,0.001987273863605048
PC108,0.001962949435751878
PC49,0.0019543208269545407
PC61,0.001934606486752454
PC101,0.0019054001803125121
PC85,0.0018945466664469215
PC39,0.0018836149296189884
PC83,0.001881666955541969
PC113,0.0018774318248177058
PC106,0.0018735494782496462
PC69,0.0018457025867538348
PC102,0.0018276056380663525
PC107,0.0017286445666918583
PC98,0.0016967391897183379
PC84,0.00168499792578064
PC64,0.0016795796015665768
PC114,0.0016724928457087192
PC100,0.0016296073721779722
PC109,0.0016047264118038169
PC94,0.001586386360110965
PC89,0.0015630566737857077
PC105,0.0015515452677478667
PC51,0.0015439159264142098
PC110,0.0014675471058089157
PC86,0.0011248950463792393
